Gloss;Text;Period;Genre;Location;Side;Column;Line
he-pi₂ eš-šu₂;11N-T4;Neo-Babylonian;Medical;Nippur;o;0;2
he-pi₂ eš-šu₂;11N-T4;Neo-Babylonian;Medical;Nippur;o;0;3
he-pi₂ eš-šu₂;11N-T4;Neo-Babylonian;Medical;Nippur;o;0;4
he-pi₂;AO 17602;Achaemenid;Lexical;Nippur;r;iii;36
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;3’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;3’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;3’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;3’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;4’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;4’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;4’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;5’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;5’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;6’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;7’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;7’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;9’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;10’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;11’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;12’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;14’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;15’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;i;17’
he-pi₂;BM 121206;Neo-Assyrian;Incantation-Ritual;Assur;r;iii;3’
he-pi₂;BM 36761;Seleucid;Astronomical;Babylon;o;0;3’
he-pi₂;BM 36761;Seleucid;Astronomical;Babylon;o;0;5’
he-pi₂;BM 36761;Seleucid;Astronomical;Babylon;o;0;6’
he-pi₂;BM 38593;Neo-Assyrian;Incantation-Ritual;Uncertain;o;ii;39
he-pi₂;BM 38593;Neo-Assyrian;Incantation-Ritual;Uncertain;o;ii;44
he-pi₂ eš-šu₂;BM 38593;Neo-Assyrian;Incantation-Ritual;Uncertain;r;ii;13
he-pi₂;BM 40350;Uncertain;Lexical;Uncertain;o;0;5’
he-pi₂ eš-šu₂;BM 40745;Seleucid;Lexical;Jimjima;r;0;2
he-pi₂;BM 41268;Seleucid;Astronomical;Babylon;o;0;18’
he-pi₂;BM 41481+;Uncertain;Omen;Uncertain;o;0;23’
he-pi₂;BM 47447;Uncertain;Astrological;Uncertain;o;0;37
he-pi₂;BM 47447;Uncertain;Astrological;Uncertain;o;0;67
he-pi₂;BM 48575;Neo-Assyrian;School;Uncertain;o;0;6’
he-pi₂;BM 50634;Neo-Babylonian;Astronomical;Sippar;r;ix;10’
he-pi₂;BM 59595;Achaemenid;Astrological;Sippar;r;0;4
he-pi₂ eš-šu₂;BM 79503;Neo-Assyrian;Royal;Nineveh;o;0;5
he-pi₂ eš-šu₂;BM 79503;Neo-Assyrian;Royal;Nineveh;o;0;7
